"bodyid","type","cbf","m.type","c.type","cbf.change","class","cell.type","ItoLee_Hemilineage","Hartenstein_Hemilineage","FAFB.match","FAFB.match.quality","LM.match","LM.match.quality","published","type.change","pnt","connectivity.type"
"423351806","AVLP108a","AVL08","AVL08j","AVL08j_pct",FALSE,"LHN","LHAV7b1","primary","primary","none","none","none","none",FALSE,TRUE,"LHAV7","LHAV7b1"
"513741732","AVLP108a","AVL08","AVL08j","AVL08j_pct",FALSE,"LHN","LHAV7b1","primary","primary","none","none","Cha-F-500243","good",FALSE,TRUE,"LHAV7","LHAV7b1"
"517479202","AVLP108a","AVL08","AVL08j","AVL08j_pct",FALSE,"LHN","LHAV7b1","primary","primary","none","none","none","none",FALSE,TRUE,"LHAV7","LHAV7b1"
"576161592","AVLP108a","AVL08","AVL08j","AVL08j_pct",FALSE,"LHN","LHAV7b1","primary","primary","none","none","none","none",FALSE,TRUE,"LHAV7","LHAV7b1"
"577464071","AVLP108a","AVL08","AVL08j","AVL08j_pct",FALSE,"LHN","LHAV7b1","primary","primary","none","none","none","none",FALSE,TRUE,"LHAV7","LHAV7b1"
"5813049045","AVLP108a","AVL08","AVL08j","AVL08j_pct",FALSE,"LHN","LHAV7b2","primary","primary","none","none","none","none",FALSE,TRUE,"LHAV7","LHAV7b2"
"636789034","CL064a","AVL23","AVL23c","AVL23c_pct",FALSE,"LHN","LHAV8a1",NA,NA,"57110","good","none","none",FALSE,FALSE,"LHAV8","LHAV8a1"
"793728667","CRE036b","AVM13","AVM13h","AVM13m_pct",FALSE,"LHN","LHAV9a1","unknown","unknown","none","none","none","none",FALSE,FALSE,"LHAV9","LHAV9a1_c"
"794406234","CRE036b","AVM13","AVM13h","AVM13m_pct",FALSE,"LHN","LHAV9a1","unknown","unknown","none","none","none","none",FALSE,FALSE,"LHAV9","LHAV9a1_c"
"953755666","CRE036b","AVM13","AVM13h","AVM13m_pct",FALSE,"LHN","LHAV9a1","unknown","unknown","none","none","none","none",FALSE,FALSE,"LHAV9","LHAV9a1_c"
"642660081","CRE036d","AVM13","AVM13h","AVM13p_pct",FALSE,"LHN","LHAV9a1","unknown","unknown","none","none","none","none",FALSE,FALSE,"LHAV9","LHAV9a1_b"
"671307834","CRE036d","AVM13","AVM13h","AVM13p_pct",FALSE,"LHN","LHAV9a1","unknown","unknown","none","none","none","none",FALSE,FALSE,"LHAV9","LHAV9a1_b"
"579235017","CRE036f","AVM13","AVM13h","AVM13s_pct",FALSE,"LHN","LHAV9a1","unknown","unknown","none","none","none","none",FALSE,FALSE,"LHAV9","LHAV9a1_a"
"607195856","CRE036f","AVM13","AVM13h","AVM13s_pct",FALSE,"LHN","LHAV9a1","unknown","unknown","none","none","none","none",FALSE,FALSE,"LHAV9","LHAV9a1_a"
"542652400","LH047a","ADL19","ADL19i","ADL19a_pct",FALSE,"LHN","LHAV7a4","primary","primary","none","none","none","none",FALSE,FALSE,"LHAV7","LHAV7a4"
"608188506","LH047a","ADL19","ADL19i","ADL19a_pct",FALSE,"LHN","LHAV7a4","primary","primary","none","none","none","none",FALSE,FALSE,"LHAV7","LHAV7a4"
"608534083","LH047a","ADL19","ADL19i","ADL19a_pct",FALSE,"LHN","LHAV7a4","primary","primary","none","none","none","none",FALSE,FALSE,"LHAV7","LHAV7a4"
"5813010471","LH047a","ADL19","ADL19i","ADL19a_pct",FALSE,"LHN","LHAV7a4","primary","primary","none","none","none","none",FALSE,FALSE,"LHAV7","LHAV7a4"
"456432557","LH047b","ADL19","ADL19i","ADL19i_pct",FALSE,"LHN","LHAV7a1","primary","primary","none","none","Gad1-F-200237","good",FALSE,FALSE,"LHAV7","LHAV7a1_b"
"580231908","LH047b","ADL19","ADL19i","ADL19i_pct",FALSE,"LHN","LHAV7a1","primary","primary","4176088","good","L2001#1","good",FALSE,FALSE,"LHAV7","LHAV7a1_b"
"821625208","LH047b","ADL19","ADL19i","ADL19i_pct",FALSE,"LHN","LHAV7a1","primary","primary","none","none","L2001#2","good",FALSE,FALSE,"LHAV7","LHAV7a1_b"
"329216050","LH047c","ADL19","ADL19i","ADL19t_pct",FALSE,"LHN","LHAV7a3","primary","primary","none","none","L2001#7","medium",FALSE,FALSE,"LHAV7","LHAV7a3_b"
"5813079244","LH047c","ADL19","ADL19i","ADL19t_pct",FALSE,"LHN","LHAV7a3","primary","primary","none","none","Cha-F-700110","good",FALSE,FALSE,"LHAV7","LHAV7a3_b"
"452673242","LH047d","ADL19","ADL19i","ADL19u_pct",FALSE,"LHN","LHAV7a3","primary","primary","none","none","none","none",FALSE,FALSE,"LHAV7","LHAV7a3_a"
"541970375","LH047d","ADL19","ADL19i","ADL19u_pct",FALSE,"LHN","LHAV7a3","primary","primary","none","none","none","none",FALSE,FALSE,"LHAV7","LHAV7a3_a"
"602990602","LH047e","ADL19","ADL19i","ADL19w_pct",FALSE,"LHN","LHAV7a1","primary","primary","none","none","L2002#1","medium",FALSE,FALSE,"LHAV7","LHAV7a1_a"
"604722017","LH047e","ADL19","ADL19i","ADL19w_pct",FALSE,"LHN","LHAV7a1","primary","primary","none","none","L2001#3","good",FALSE,FALSE,"LHAV7","LHAV7a1_a"
"453031248","LH048a","ADL19","ADL19k","ADL19k_pct",FALSE,"LHN","LHAV7a7","primary","primary","none","none","none","none",FALSE,FALSE,"LHAV7","LHAV7a7"
"515096130","LH048a","ADL19","ADL19k","ADL19k_pct",FALSE,"LHN","LHAV7a7","primary","primary","none","none","none","none",FALSE,FALSE,"LHAV7","LHAV7a7"
"609233083","LH048b","ADL19","ADL19k","ADL19oa_pct",FALSE,"LHN","LHAV7a6","primary","primary","none","none","none","none",FALSE,FALSE,"LHAV7","LHAV7a6"
"732686529","LH049a","ADL19","ADL19j","ADL19j_pct",FALSE,"LHN","LHAV7a5","primary","primary","none","none","none","none",FALSE,FALSE,"LHAV7","LHAV7a5"
"791307174","LH049a","ADL19","ADL19j","ADL19j_pct",FALSE,"LHN","LHAV7a5","primary","primary","none","none","none","none",FALSE,FALSE,"LHAV7","LHAV7a5"
"853376855","LH049a","ADL19","ADL19j","ADL19j_pct",FALSE,"LHN","LHAV7a5","primary","primary","none","none","none","none",FALSE,FALSE,"LHAV7","LHAV7a5"
"761636549","LH049b","ADL19","ADL19j","ADL19v_pct",FALSE,"LHN","LHAV7a2","primary","primary","none","none","L2001#4","medium",FALSE,FALSE,"LHAV7","LHAV7a2"
